№ п/п;Наименование;Координата Х;Координата У;Адрес
1;ферма на 50 голов (строительство);;;Костромская область, Шарьинский район , Ивановское с/п, д.Столбецкое
2;коровник на 200 скотомест (реконструкция);;;Костромская область, Шарьинский район , Ивановское с/п, д. Катунино ул.Центральная, д. 22а
3; индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  д. Бычиха, д.76
4; индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Октябрьская, д.16
5; индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  д. Филино, д.9
6;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Шекшема, ул.Новая, д.10
7;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Яковлиха, д.23
8;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район, д. Матвеевка д. 72
9;индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Дюково д.2
10;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,   д. Гольяниха, д.20
11;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Лесная, д.47
12;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,   д. Выползово, д.25
13;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Сафоново, д.32
14;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Глушиха, д.1 в
15;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,   д. Сафоново, д.38
16;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Вокзальная, д.19
17;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с.Одоевское, ул.Новопетровская, д.13 а
18;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Надежино, д.30
19;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  с.Рождественское, ул.Механизаторов, д.6
20;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Осипово, д.12
21;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Бычиха, ул.Центральная, д.5
22;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  д.Павлово, ул.Новая д. 3
23; магазин (строительство);;;Костромская область, Шарьинский район ,   с.Троицкое пер.Зеленый, д. 1а
24;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Почтовая, д.3
25;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Плосково, ул.Молодежная д.7
26;молочно-товарная ферма на 400 голов;;;Костромская область, Шарьинский район ,   д. Сысоиха, д.1 а
27;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Соколовский, улСоветская, д.80
28;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Козиониха, д.40
29;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Павлово,ул.Новая д.3 а
30;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Сафоново, д.4
31;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Матвеевка, д.68
32;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Костромская, д.19
33;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Выползово, д.33
34;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Выползово, д.31
35;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Зебляковская, д.12
36;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Красный Холм,  д.2 в
37;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Бычиха, ул.Центральная, д.7
38;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Выползово, д.12б
39;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Павлово, д.27
40;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Кораблиха, д.1
41;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Осипово, уч.18б
42;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Осипово, д.2
43;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Пищевка, ул.Центральная, д.14
44;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Матвеевка, д.64
45;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с.Одоевское, ул.Набережная, д.20
46;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Школьная, д.9
47;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.2-яЗебляковская, д.3
48;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Выползово, д.24
49;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Шубиха
50;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с.Рождественское, ул.Механизаторов, д.31
51;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Шекшема, ул.Первомайская, д.15
52;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Соколовский, ул.Соколовская, д.80
